Time,Size,Sex,Total
2673.7736477120307,10,M,6755
3824.6639020675784,11,M,7464
4398.943990018402,12,M,8550
7713.039726596408,13,M,8103
8139.168861914977,14,M,8477
8339.275949939403,15,M,8259
8606.969252752277,16,M,8031
8710.351250445165,17,M,8215
9208.157501744876,18,M,7954
10374.877175427548,19,M,7690
10635.043066205728,20,M,7966
11112.094811901865,21,M,7320
11362.887383267816,22,M,7901
11570.761460265634,23,M,7790
11655.981819758052,24,M,7590
11885.660360571164,25,M,8223
12264.72169199298,26,M,8011
13130.741865246675,27,M,8033
13183.70812030768,28,M,8109
13779.134410288752,29,M,9006
13985.23129688467,30,M,8957
14376.019811203794,31,M,9198
14492.34879646563,32,M,9218
14520.673027506975,33,M,9103
14625.778769147637,34,M,9173
14840.192741940487,35,M,8952
14859.453247257481,36,M,8886
14923.898083770262,37,M,8973
14935.135353990834,38,M,8986
15362.757407580883,39,M,9692
15369.117353261387,40,M,9667
15407.467809005168,41,M,9670
15415.278960764163,42,M,9738
15418.310753378712,43,M,9714
15711.494658800635,44,M,9634
16033.207940363945,45,M,9691
16108.205600112411,46,M,9803
16238.528587868379,47,M,10309
16320.507501929602,48,M,10423
16322.077829323207,49,M,10454
16328.530512788446,50,M,10525
16431.49662197063,51,M,10281
16477.750132499084,52,M,10324
16586.35391253458,53,M,10606
16607.071662353108,54,M,10619
16690.339700271586,55,M,10518
16737.322265760922,56,M,10470
16825.648435218816,57,M,10503
16844.246018020993,58,M,10468
16863.269581284774,59,M,10445
16865.535544431328,60,M,10482
16888.998501084923,61,M,10420
16903.130296338943,62,M,10365
16952.996455079137,63,M,10221
16964.858373156956,64,M,10273
17031.916797996124,65,M,10306
17050.99441006175,66,M,10239
17062.102373820788,67,M,10205
17089.598085092075,68,M,9970
17094.07517523357,69,M,9976
17100.84577653717,70,M,9968
17130.029661213946,71,M,10003
17162.82773069126,72,M,10046
17175.959863940112,73,M,10204
17198.419611856767,74,M,10185
17235.417854812287,75,M,10344
17262.274215946938,76,M,10246
17285.038463936733,77,M,10175
17299.66207248481,78,M,10215
17374.838710866687,79,M,10045
17379.03114656816,80,M,10090
17387.58738540023,81,M,10101
17388.943671232246,82,M,10070
17400.034534063037,83,M,10082
17401.570866406506,84,M,10071
17415.00752819725,85,M,10108
17423.820876459446,86,M,10082
17578.588469353843,87,M,9900
17608.44479558488,88,M,10175
17617.702527501955,89,M,10245
17619.9234471396,90,M,10252
17651.574214664684,91,M,10233
17752.95590948451,92,M,10439
17756.69663306877,93,M,10444
17762.43827706168,94,M,10485
17795.542794609697,95,M,10644
17827.75324284144,96,M,10701
17853.130574868475,97,M,10496
17855.2295508287,98,M,10488
17857.73881393178,99,M,10461
17867.01816706761,100,M,10443
17878.815089410677,101,M,10471
17880.536162850443,102,M,10492
17889.032338273122,103,M,10424
17900.08941719067,104,M,10328
18015.57307820339,105,M,10250
18019.02575867648,106,M,10206
18021.388118260125,107,M,10279
18049.827500156236,108,M,10687
18063.21390581708,109,M,10683
18066.733490506853,110,M,10688
18096.07209438948,111,M,10887
18109.705878678586,112,M,10804
18129.740969594488,113,M,10794
18145.495789011387,114,M,10666
18170.861197314705,115,M,10666
18178.45129672309,116,M,10698
18198.924569701107,117,M,10626
18205.44836835499,118,M,10699
18224.083892699186,119,M,10750
18246.843714279446,120,M,10697
18250.788065091576,121,M,10657
18251.381821089384,122,M,10653
18267.94480850579,123,M,10727
18277.582608028028,124,M,10899
18292.62257868478,125,M,11054
18295.188184424394,126,M,11060
18314.187677711423,127,M,11141
18321.56268770722,128,M,11143
18345.45142735718,129,M,11203
18396.33989416805,130,M,11055
18419.73261044823,131,M,11070
18436.557343314544,132,M,11033
18441.303778581718,133,M,11157
18442.520365556054,134,M,11173
18447.169142818373,135,M,11174
18456.989787138762,136,M,11193
18459.30108206572,137,M,11143
18475.451699527835,138,M,11046
18479.867291946004,139,M,10998
18502.033065013544,140,M,11005
18504.414349854193,141,M,10984
18506.852239675714,142,M,10994
18516.24691315971,143,M,11034
18517.258618782183,144,M,11060
18538.712989017127,145,M,10966
18554.65204403226,146,M,11086
18560.446236351316,147,M,10988
18565.725257475173,148,M,11011
18575.939622846734,149,M,11099
18596.674501340607,150,M,10990
18603.249316331487,151,M,11007
18619.392830153574,152,M,11026
18622.703843054227,153,M,11051
18628.6840666926,154,M,10978
18633.259466988395,155,M,10903
18648.907577868347,156,M,10985
18654.537427462907,157,M,11061
18658.820666824988,158,M,11002
18663.420086389768,159,M,11060
18664.74468825214,160,M,11030
18665.6715807645,161,M,11022
18669.17373057697,162,M,10982
18673.086617537065,163,M,11037
18718.334196620017,164,M,10947
18726.31257172149,165,M,10932
18726.99044083862,166,M,10897
18727.264658624634,167,M,10895
18733.67842003527,168,M,10821
18753.5329055429,169,M,10772
18757.98394202815,170,M,10660
18763.727090770062,171,M,10677
18768.24577034936,172,M,10654
18770.716473680266,173,M,10644
18770.92353735938,174,M,10651
18774.8245132693,175,M,10693
18777.55334028576,176,M,10716
18785.132511301734,177,M,10808
18797.33468754506,178,M,10684
18805.92149386684,179,M,10620
18812.032741190582,180,M,10635
18814.19858928288,181,M,10653
18819.1644573886,182,M,10681
18823.004279625504,183,M,10659
18832.58974433019,184,M,10594
18842.15609613515,185,M,10470
18842.269361065468,186,M,10474
18844.80748212331,187,M,10488
18852.944534897542,188,M,10566
18855.511237484705,189,M,10617
18855.917697260535,190,M,10631
18865.017879131636,191,M,10758
18871.849028325258,192,M,10853
18873.120098755437,193,M,10828
18874.4113473114,194,M,10833
18880.788795175755,195,M,10899
18900.600484616072,196,M,11031
18903.902635047853,197,M,11045
18913.304767252732,198,M,11123
18922.267515626467,199,M,11087
18922.75570804752,200,M,11108
18929.02325523392,201,M,11137
18937.82017107375,202,M,11167
18938.206057460462,203,M,11171
18938.651864991592,204,M,11195
18950.028416289606,205,M,11145
18955.386077075775,206,M,11109
18964.05206373421,207,M,11120
18973.934666346784,208,M,11232
18975.83325580915,209,M,11245
18978.6471837539,210,M,11175
18995.44418436068,211,M,11160
19000.932728768727,212,M,11107
19002.232720193002,213,M,11151
19012.69339013377,214,M,11165
19020.134433924417,215,M,11126
19021.354360809528,216,M,11098
19021.69594601866,217,M,11110
19024.105556783332,218,M,11133
19041.26774941717,219,M,11067
19056.21724495939,220,M,11024
19059.824998315435,221,M,10992
19060.758613621987,222,M,10999
19061.815335831896,223,M,11023
19087.081499210064,224,M,10913
19089.651780419154,225,M,10836
19091.165508727976,226,M,10831
19093.042500126387,227,M,10843
19094.723678211263,228,M,10796
19097.005138627654,229,M,10779
19097.71072749397,230,M,10779
19106.888991263477,231,M,10757
19115.34482129902,232,M,10760
19118.535922227864,233,M,10812
19128.77107742238,234,M,10869
19130.445298796887,235,M,10803
19130.683007203028,236,M,10803
19133.586261438166,237,M,10785
19139.78260641502,238,M,10794
19140.885599086512,239,M,10827
19145.352297377158,240,M,10806
19146.251030505504,241,M,10794
19147.128013566693,242,M,10811
19148.496539877982,243,M,10803
19153.15839272284,244,M,10703
19154.537977574248,245,M,10724
19159.61604407192,246,M,10742
19167.510780029,247,M,10801
19171.139954470567,248,M,10751
19173.117983532644,249,M,10816
19182.839856863102,250,M,10728
19186.61985493014,251,M,10784
19188.90191136992,252,M,10729
19195.75014956346,253,M,10712
19196.60395650972,254,M,10694
19196.824973426243,255,M,10687
19197.476164863278,256,M,10717
19198.535220686947,257,M,10702
19198.804038023456,258,M,10714
19202.06206267255,259,M,10625
19204.153775197407,260,M,10652
19204.176107999065,261,M,10658
19207.186322195575,262,M,10665
19210.357989319207,263,M,10669
19211.441787481774,264,M,10672
19212.042817372858,265,M,10687
19216.57424861554,266,M,10704
19224.99191161177,267,M,10700
19230.474486657502,268,M,10589
19232.217357290538,269,M,10594
19239.262161626066,270,M,10661
19239.289845078605,271,M,10656
19245.005490170606,272,M,10720
19245.336265263846,273,M,10724
19251.785656570966,274,M,10790
19252.93103279484,275,M,10780
19253.91210719045,276,M,10781
19259.296985535475,277,M,10847
19262.11366566336,278,M,10864
19265.570622710726,279,M,10829
19269.71742002835,280,M,10768
19271.868110992957,281,M,10739
19277.89427823832,282,M,10689
19286.317705997666,283,M,10655
19295.321810217843,284,M,10731
19296.605123017926,285,M,10742
19299.38900627024,286,M,10736
19299.632421514827,287,M,10745
19299.80333135566,288,M,10729
19300.659928858277,289,M,10724
19300.96359616347,290,M,10734
19301.30663944991,291,M,10749
19303.304213559135,292,M,10714
19304.23804168969,293,M,10715
19307.35020324072,294,M,10731
19318.901124013144,295,M,10593
19319.304095842417,296,M,10592
19325.33585247646,297,M,10680
19325.48075868839,298,M,10686
19325.641809077322,299,M,10681
19328.397401144957,300,M,10752
19328.571259302225,301,M,10751
19329.443813523896,302,M,10758
19330.13648565119,303,M,10776
19334.474042008875,304,M,10688
19339.868870286013,305,M,10711
19340.827451161098,306,M,10692
19340.87654044381,307,M,10697
19346.97874956359,308,M,10754
19348.71752215864,309,M,10792
19349.200632925156,310,M,10804
19354.786645651307,311,M,10755
19357.24019506757,312,M,10775
19358.415663751613,313,M,10807
19359.710134694382,314,M,10841
19360.971254519147,315,M,10822
19362.02015758972,316,M,10791
19362.81152340353,317,M,10797
19363.247270873388,318,M,10791
19364.04129643643,319,M,10799
19368.526343824862,320,M,10860
19368.80591847899,321,M,10879
19374.92570238495,322,M,10929
19375.593732730005,323,M,10964
19377.754992182447,324,M,10927
19383.54925797767,325,M,10930
19384.578013376038,326,M,10958
19384.71042578352,327,M,10954
19386.671445705662,328,M,10919
19389.807151689296,329,M,10948
19392.13204452208,330,M,10906
19392.182587600193,331,M,10905
19393.293774872087,332,M,10917
19393.97316234161,333,M,10902
19395.365703481646,334,M,10942
19397.072299788866,335,M,10980
19398.979043922613,336,M,11030
19401.145277493117,337,M,11035
19401.168331000925,338,M,11038
19401.693526710533,339,M,11062
19404.145534499585,340,M,11146
19405.299742315063,341,M,11163
19408.988551803533,342,M,11212
19410.908964754388,343,M,11189
19412.128343030396,344,M,11194
19415.75544487827,345,M,11181
19416.760821351072,346,M,11209
19420.07020283828,347,M,11154
19420.21920053143,348,M,11156
19421.935587591706,349,M,11170
19422.209028837107,350,M,11179
19422.35027061266,351,M,11181
19422.80322544262,352,M,11141
19424.893739377952,353,M,11184
19425.832287015568,354,M,11201
19427.763347912285,355,M,11193
19429.055480862982,356,M,11189
19430.57279114461,357,M,11194
19430.81173501006,358,M,11189
19434.03666177724,359,M,11242
19434.356414912392,360,M,11211
19434.65939438832,361,M,11214
19437.486832046732,362,M,11209
19441.272458438212,363,M,11265
19443.20401223281,364,M,11296
19443.410966294803,365,M,11304
19443.671279034854,366,M,11278
19445.323241284244,367,M,11262
19447.137666623825,368,M,11264
19448.171137096433,369,M,11270
19452.777757983957,370,M,11295
19453.092366837463,371,M,11296
19455.117583479456,372,M,11362
19458.05670955383,373,M,11355
19459.823831432364,374,M,11353
19461.408092237565,375,M,11358
19463.964280279313,376,M,11345
19467.938725917786,377,M,11271
19468.00729871161,378,M,11273
19470.175505466857,379,M,11345
19471.998686452487,380,M,11348
19474.323606518305,381,M,11309
19474.43812605454,382,M,11326
19474.80743983663,383,M,11331
19476.065507388754,384,M,11303
19476.95496794972,385,M,11290
19478.185980584705,386,M,11330
